WETZELBU2014,CRESWELL2009
BRUCECHI2015,CUBAN2001
MADERICK2015,CUBAN2001
HUGHES2013,CULLENGR2011
LEWIS2015,CULLENGR2011
REHMATBA2014,CULLENGR2011
SADAFNEW2015,CULLENGR2011
DOOLEYCA2014,DALGARNO2010
NUSSLIOH2014,DALGARNO2010
BELLMAEN2013,DANIKOEN2008
MAENGMUL2013,DANIKOEN2008
BROWNALF2013,DARLINGH2002
KIMMONSM2015,DARLINGH2002
MOUZAKAR2013,DARLINGH2002
BROWNALF2013,DARLINGH2005
DONNAMIL2013,DARLINGH2005
HABOWSKI2014,DARLINGH2005
KOPCHADI2016,DECIRYAN2000
KIMMONSM2015,DEWEY1933
MOUZAKAR2013,DEWEY1933
DONNAMIL2013,DOERINGH2003
KALE2013,DOERINGH2003
LEWIS2015,DOERINGH2003
BELLMAEN2013,DUSCHLSC2007
DONNAMIL2013,DUSCHLSC2007
AKCAOGLU2016,DUTTDONE2005
KALE2013,DUTTDONE2005
FOULGERB2013,ERICKSON1986
PITTSBAN2013,ERICKSON1986
STOVERSH2014,ERICKSON1986
BRENNERB2016,ERTMER1999
DONNAMIL2013,ERTMER1999
KIMMONSM2015,ERTMER1999
LEEKIM2014B,ERTMER1999
MADERICK2015,ERTMER1999
WYANTJON2015,ERTMER1999
CYDIS2015,ERTMER2005
DONNAMIL2013,ERTMER2005
HSU2013,ERTMER2005
KIMMONSM2015,ERTMER2005
LEEKIM2014B,ERTMER2005
POLLY2015,ERTMER2005
POLLYROC2016,ERTMER2005
RAYPOWEL2015,ERTMER2005
REHMATBA2014,ERTMER2005
SADAFNEW2015,ERTMER2005
WAKEWHIT2013,ERTMER2005
WEBBKAPA2015,ERTMER2005
BRUCECHI2015,ERTMEROT2007
HUGHES2013,ERTMEROT2007
BAKIR2015,ERTMEROT2010
HUGHES2013,ERTMEROT2010
MOURLAMM2015,ERTMEROT2010
NIESSGIL2013,ERTMEROT2010
POLLY2015,ERTMEROT2010
SADAFNEW2015,ERTMEROT2010
WAKEWHIT2013,ERTMEROT2010
WILLIS2015,ERTMEROT2010
